bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 3, 64, 442368, 1, 31973970, 0, 0, 143191, 82794, 16892265, 31896000, 0, 1347129, 1323289, 4342, 0
q1, d, -, 3, 64, 442368, 1, 34756391, 0, 0, 622532, 536145, 15568348,34759000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 1, 21858351, 0, 0, 167285, 84629, 15614163,21859000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 2, 32233880, 0, 0, 178647, 115488, 16906691, 32158000, 0, 1366287, 1272329, 7222, 0
q1, d, -, 3, 64, 442368, 2, 34803681, 0, 0, 620676, 535678, 15526743,34806000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 2, 22417975, 0, 0, 201877, 114914, 15516523,22420000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 33357928, 0, 0, 234066, 164946, 16898561, 33281000, 0, 1399542, 1149938, 6789, 0
q1, d, -, 3, 64, 442368, 4, 34744320, 0, 0, 623800, 537580, 15531787,34746000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 24164979, 0, 0, 273719, 175847, 15522727,24166000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 8, 34324298, 0, 0, 333940, 254459, 16905919, 34247000, 0, 1488867, 244779, 431, 0
q1, d, -, 3, 64, 442368, 8, 34700347, 0, 0, 621597, 537365, 15533307,34702000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 8, 27044863, 0, 0, 394243, 272535, 15536478,27047000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 16, 40429636, 0, 0, 506719, 426953, 16906785, 40353000, 1541, 1170194, 2, 189, 0
q1, d, -, 3, 64, 442368, 16, 34845709, 0, 0, 621077, 537141, 15531691,34848000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 16, 32929548, 0, 0, 627729, 455990, 15535998,32932000, 0, 0, 0, 0, 0
