bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 1, 64, 442368, 4, 14163870, 0, 0, 77037, 59974, 8913950, 14102000, 0, 0, 0, 38649, 0
q1, d, -, 1, 64, 442368, 4, 33242085, 0, 0, 510272, 478416, 8454982,33244000, 0, 0, 0, 0, 0
q1, c, -, 1, 64, 442368, 4, 10617404, 0, 0, 73719, 59188, 7535440,10619000, 0, 0, 0, 0, 0
q1, r, c, 2, 64, 442368, 4, 23768793, 0, 0, 148877, 112363, 12901104, 23707000, 0, 0, 0, 58215, 0
q1, d, -, 2, 64, 442368, 4, 40155384, 0, 0, 564188, 509077, 12003156,40158000, 0, 0, 0, 0, 0
q1, c, -, 2, 64, 442368, 4, 18169845, 0, 0, 165008, 114454, 11531083,18171000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 35090420, 0, 0, 222753, 152302, 16908894, 34934000, 0, 0, 0, 37473, 0
q1, d, -, 3, 64, 442368, 4, 46576809, 0, 0, 617088, 536148, 15551325,46580000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 27742853, 0, 0, 268051, 171553, 15576040,27743000, 0, 0, 0, 0, 0
q1, r, c, 4, 64, 442368, 4, 43656593, 0, 0, 295226, 215456, 20899665, 43596000, 0, 0, 0, 91602, 0
q1, d, -, 4, 64, 442368, 4, 54638438, 0, 0, 667487, 561629, 19117705,54639000, 0, 0, 0, 0, 0
q1, c, -, 4, 64, 442368, 4, 34927312, 0, 0, 447140, 228478, 19650791,34929000, 0, 0, 0, 0, 0
q1, r, c, 5, 64, 442368, 4, 54551073, 0, 0, 369542, 251555, 24902596, 54490000, 0, 5, 0, 68146, 0
q1, d, -, 5, 64, 442368, 4, 60844299, 0, 0, 719556, 587062, 22703276,60847000, 0, 0, 0, 0, 0
q1, c, -, 5, 64, 442368, 4, 84239572, 0, 0, 1399184, 289013, 23730355,84241000, 0, 0, 0, 0, 0
q1, r, c, 6, 64, 442368, 4, 63362151, 0, 0, 439609, 289853, 28888653, 63301000, 0, 0, 0, 52278, 0
q1, d, -, 6, 64, 442368, 4, 65572614, 0, 0, 764583, 613232, 26348700,65574000, 0, 0, 0, 0, 0
q1, c, -, 6, 64, 442368, 4, 108206763, 0, 0, 2167369, 351361, 27813571,108208000, 0, 0, 0, 0, 0
q1, r, c, 7, 64, 442368, 4, 72472425, 0, 0, 518477, 349366, 33061421, 72411000, 0, 4, 0, 88590, 0
q1, d, -, 7, 64, 442368, 4, 72161196, 0, 0, 815763, 635468, 29947619,72162000, 0, 0, 0, 0, 0
q1, c, -, 7, 64, 442368, 4, 140007845, 0, 0, 2897425, 413753, 31863337,140010000, 0, 0, 0, 0, 0
q1, r, c, 8, 64, 442368, 4, 81959753, 0, 0, 586045, 422485, 36990680, 81899000, 0, 7, 0, 159808, 0
q1, d, -, 8, 64, 442368, 4, 78308498, 0, 0, 858140, 659933, 33552325,78310000, 0, 0, 0, 0, 0
q1, c, -, 8, 64, 442368, 4, 164760918, 0, 0, 3518646, 481936, 35925837,164762000, 0, 0, 0, 0, 0
q1, r, c, 9, 64, 442368, 4, 91486395, 0, 0, 661253, 473082, 40944357, 91424000, 0, 0, 0, 176988, 0
q1, d, -, 9, 64, 442368, 4, 85987228, 0, 0, 904157, 681327, 37105859,85989000, 0, 0, 0, 0, 0
q1, c, -, 9, 64, 442368, 4, 187702013, 0, 0, 4125305, 553938, 39979309,187703000, 0, 0, 0, 0, 0
q1, r, c, 10, 64, 442368, 4, 102120925, 0, 0, 733964, 528065, 45171534, 102059000, 0, 0, 0, 193554, 0
q1, d, -, 10, 64, 442368, 4, 92052797, 0, 0, 943161, 705479, 40709631,92054000, 0, 0, 0, 0, 0
q1, c, -, 10, 64, 442368, 4, 211862996, 0, 0, 4696442, 633244, 44035751,211865000, 0, 0, 0, 0, 0
q1, r, c, 11, 64, 442368, 4, 111984342, 0, 0, 812522, 545158, 49117624, 111923000, 0, 0, 0, 135633, 0
q1, d, -, 11, 64, 442368, 4, 98183683, 0, 0, 992036, 725505, 44266991,98185000, 0, 0, 0, 0, 0
q1, c, -, 11, 64, 442368, 4, 235485993, 0, 0, 5255884, 725368, 48099228,235488000, 0, 0, 0, 0, 0
