bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 1, 64, 442368, 4, 12056084, 0, 0, 81157, 60688, 8903694, 11978000, 0, 469541, 352339, 2559, 0
q1, d, -, 1, 64, 442368, 4, 20425727, 0, 0, 509364, 477598, 8435357,20428000, 0, 0, 0, 0, 0
q1, c, -, 1, 64, 442368, 4, 9541058, 0, 0, 79863, 60667, 7540452,9543000, 0, 0, 0, 0, 0
q1, r, c, 2, 64, 442368, 4, 24215594, 0, 0, 156142, 113072, 12900753, 24136000, 0, 931288, 764667, 7583, 0
q1, d, -, 2, 64, 442368, 4, 26488918, 0, 0, 565586, 508744, 11983550,26490000, 0, 0, 0, 0, 0
q1, c, -, 2, 64, 442368, 4, 15551323, 0, 0, 172773, 117278, 11530603,15553000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 36325332, 0, 0, 235309, 164950, 16908202, 36242000, 0, 1397986, 1154005, 7075, 0
q1, d, -, 3, 64, 442368, 4, 34675807, 0, 0, 621384, 536844, 15533309,34677000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 24177535, 0, 0, 273320, 175333, 15570123,24179000, 0, 0, 0, 0, 0
q1, r, c, 4, 64, 442368, 4, 48152439, 0, 0, 314182, 215559, 20907419, 48068000, 0, 1863111, 1554828, 7189, 0
q1, d, -, 4, 64, 442368, 4, 38521187, 0, 0, 674833, 563421, 19084820,38522000, 0, 0, 0, 0, 0
q1, c, -, 4, 64, 442368, 4, 30875853, 0, 0, 441480, 227021, 19645883,30877000, 0, 0, 0, 0, 0
q1, r, c, 5, 64, 442368, 4, 59960335, 0, 0, 389638, 267991, 24901256, 59878000, 0, 2329248, 1934098, 9357, 0
q1, d, -, 5, 64, 442368, 4, 46770309, 0, 0, 729027, 590867, 22679447,46772000, 0, 0, 0, 0, 0
q1, c, -, 5, 64, 442368, 4, 83750975, 0, 0, 1393358, 288362, 23738828,83752000, 0, 0, 0, 0, 0
q1, r, c, 6, 64, 442368, 4, 71945360, 0, 0, 466157, 323432, 28900973, 71862000, 0, 2799130, 2326851, 14366, 0
q1, d, -, 6, 64, 442368, 4, 52987819, 0, 0, 784576, 619611, 26335526,52990000, 0, 0, 0, 0, 0
q1, c, -, 6, 64, 442368, 4, 113808923, 0, 0, 2181422, 345664, 27828209,113810000, 0, 0, 0, 0, 0
q1, r, c, 7, 64, 442368, 4, 84429130, 0, 0, 547914, 377016, 33080666, 84350000, 0, 3276522, 2747918, 14147, 0
q1, d, -, 7, 64, 442368, 4, 56691116, 0, 0, 836864, 640618, 29936674,56693000, 0, 0, 0, 0, 0
q1, c, -, 7, 64, 442368, 4, 149908355, 0, 0, 2906229, 412015, 31882789,149910000, 0, 0, 0, 0, 0
q1, r, c, 8, 64, 442368, 4, 96153525, 0, 0, 622407, 429278, 37015828, 96070000, 0, 3745875, 3140035, 18503, 0
q1, d, -, 8, 64, 442368, 4, 62822299, 0, 0, 882855, 665946, 33522911,62823000, 0, 0, 0, 0, 0
q1, c, -, 8, 64, 442368, 4, 177894898, 0, 0, 3535037, 483037, 35955707,177896000, 0, 0, 0, 0, 0
q1, r, c, 9, 64, 442368, 4, 108130634, 0, 0, 702230, 480245, 40967676, 108045000, 0, 4215274, 3550642, 22686, 0
q1, d, -, 9, 64, 442368, 4, 68506420, 0, 0, 940378, 690941, 37069758,68508000, 0, 0, 0, 0, 0
q1, c, -, 9, 64, 442368, 4, 204431692, 0, 0, 4144685, 554403, 39988536,204432000, 0, 0, 0, 0, 0
q1, r, c, 10, 64, 442368, 4, 120174432, 0, 0, 776971, 531570, 45179095, 120094000, 0, 4679717, 3939052, 27851, 0
q1, d, -, 10, 64, 442368, 4, 76562039, 0, 0, 987297, 716567, 40685668,76564000, 0, 0, 0, 0, 0
q1, c, -, 10, 64, 442368, 4, 229992641, 0, 0, 4706346, 634484, 44067665,229994000, 0, 0, 0, 0, 0
q1, r, c, 11, 64, 442368, 4, 132514278, 0, 0, 862221, 580775, 49150195, 132435000, 0, 5148902, 4335899, 26042, 0
q1, d, -, 11, 64, 442368, 4, 82584163, 0, 0, 1045448, 738762, 44242760,82586000, 0, 0, 0, 0, 0
q1, c, -, 11, 64, 442368, 4, 256954430, 0, 0, 5270707, 723356, 48094100,256955000, 0, 0, 0, 0, 0
