bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 1, 64, 442368, 4, 23150925, 0, 0, 77863, 59644, 8915130, 23073000, 0, 412140, 0, 0, 0
q1, d, -, 1, 64, 442368, 4, 33340921, 0, 0, 512035, 479479, 8480009,33343000, 0, 0, 0, 0, 0
q1, c, -, 1, 64, 442368, 4, 10702461, 0, 0, 75188, 60226, 7555720,10704000, 0, 0, 0, 0, 0
q1, r, c, 2, 64, 442368, 4, 41888075, 0, 0, 153019, 112721, 12934901, 41819000, 0, 828552, 0, 0, 0
q1, d, -, 2, 64, 442368, 4, 40172618, 0, 0, 564515, 509397, 12003181,40174000, 0, 0, 0, 0, 0
q1, c, -, 2, 64, 442368, 4, 18235022, 0, 0, 166996, 115323, 11537177,18237000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 62151069, 0, 0, 227101, 164366, 16939106, 62074000, 0, 1242317, 0, 0, 0
q1, d, -, 3, 64, 442368, 4, 46561065, 0, 0, 616410, 536429, 15551431,46564000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 27687647, 0, 0, 268025, 171009, 15527767,27689000, 0, 0, 0, 0, 0
q1, r, c, 4, 64, 442368, 4, 80142570, 0, 0, 302420, 207285, 20957046, 80072000, 0, 1658373, 0, 0, 0
q1, d, -, 4, 64, 442368, 4, 54615377, 0, 0, 667169, 562323, 19100645,54618000, 0, 0, 0, 0, 0
q1, c, -, 4, 64, 442368, 4, 34859637, 0, 0, 447877, 226409, 19607076,34861000, 0, 0, 0, 0, 0
q1, r, c, 5, 64, 442368, 4, 100183407, 0, 0, 375460, 265181, 24975325, 100106000, 0, 2073064, 0, 0, 0
q1, d, -, 5, 64, 442368, 4, 60688343, 0, 0, 715317, 587016, 22648912,60691000, 0, 0, 0, 0, 0
q1, c, -, 5, 64, 442368, 4, 84775041, 0, 0, 1393885, 289486, 23715146,84777000, 0, 0, 0, 0, 0
q1, r, c, 6, 64, 442368, 4, 117975120, 0, 0, 453588, 319016, 28977402, 117903000, 0, 2483659, 0, 2, 0
q1, d, -, 6, 64, 442368, 4, 65608218, 0, 0, 765318, 612205, 26344830,65611000, 0, 0, 0, 0, 0
q1, c, -, 6, 64, 442368, 4, 109339255, 0, 0, 2169588, 349466, 27784738,109341000, 0, 0, 0, 0, 0
q1, r, c, 7, 64, 442368, 4, 135766721, 0, 0, 524340, 373288, 32992001, 135688000, 0, 2899536, 0, 2, 0
q1, d, -, 7, 64, 442368, 4, 71997969, 0, 0, 810436, 636357, 29861820,72000000, 0, 0, 0, 0, 0
q1, c, -, 7, 64, 442368, 4, 140296504, 0, 0, 2890379, 415036, 31866283,140298000, 0, 0, 0, 0, 0
q1, r, c, 8, 64, 442368, 4, 155115006, 0, 0, 604073, 427447, 37126366, 155039000, 0, 3314551, 0, 0, 0
q1, d, -, 8, 64, 442368, 4, 78255274, 0, 0, 854746, 657891, 33538212,78257000, 0, 0, 0, 0, 0
q1, c, -, 8, 64, 442368, 4, 164731082, 0, 0, 3526638, 480059, 35902011,164733000, 0, 0, 0, 0, 0
q1, r, c, 9, 64, 442368, 4, 172971094, 0, 0, 672682, 477788, 41093256, 172901000, 0, 3727059, 0, 0, 0
q1, d, -, 9, 64, 442368, 4, 85891552, 0, 0, 898552, 682687, 37100713,85893000, 0, 0, 0, 0, 0
q1, c, -, 9, 64, 442368, 4, 187915886, 0, 0, 4121764, 555601, 39981633,187917000, 0, 0, 0, 0, 0
q1, r, c, 10, 64, 442368, 4, 192276569, 0, 0, 747191, 530616, 45037485, 192198000, 0, 4141541, 0, 1, 0
q1, d, -, 10, 64, 442368, 4, 92134845, 0, 0, 946047, 705109, 40688632,92137000, 0, 0, 0, 0, 0
q1, c, -, 10, 64, 442368, 4, 211306028, 0, 0, 4696721, 632450, 44035925,211308000, 0, 0, 0, 0, 0
q1, r, c, 11, 64, 442368, 4, 211165336, 0, 0, 827791, 573413, 49285046, 211093000, 0, 4555362, 0, 0, 0
q1, d, -, 11, 64, 442368, 4, 98177226, 0, 0, 985812, 726871, 44293657,98178000, 0, 0, 0, 0, 0
q1, c, -, 11, 64, 442368, 4, 235547421, 0, 0, 5248580, 725080, 48088373,235548000, 0, 0, 0, 0, 0
