bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 3, 64, 442368, 1, 24170315, 0, 0, 146478, 82563, 16879332, 24102000, 0, 1323125, 1012252, 2762, 0
q1, d, -, 3, 64, 442368, 1, 34624548, 0, 0, 619909, 534545, 15526700,34627000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 1, 21703608, 0, 0, 163572, 84414, 15529346,21704000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 2, 24898414, 0, 0, 185488, 114637, 16879118, 24832000, 0, 1306972, 439057, 1178, 0
q1, d, -, 3, 64, 442368, 2, 34883241, 0, 0, 621992, 536825, 15542381,34885000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 2, 22490446, 0, 0, 204198, 115159, 15515087,22492000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 25940323, 0, 0, 239344, 165572, 16904051, 25865000, 0, 1278017, 45204, 352, 0
q1, d, -, 3, 64, 442368, 4, 34724845, 0, 0, 623045, 537540, 15533589,34726000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 24207770, 0, 0, 274261, 177085, 15536372,24210000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 8, 28059630, 0, 0, 332965, 254502, 16893589, 27995000, 0, 1203204, 1370, 265, 0
q1, d, -, 3, 64, 442368, 8, 34680375, 0, 0, 622021, 537696, 15531700,34682000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 8, 27043806, 0, 0, 396403, 273193, 15529404,27044000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 16, 34799244, 0, 0, 513050, 418644, 16907275, 34733000, 88, 120636, 0, 188, 0
q1, d, -, 3, 64, 442368, 16, 34973099, 0, 0, 627224, 537519, 15531725,34975000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 16, 33084453, 0, 0, 633802, 457868, 15546702,33087000, 0, 0, 0, 0, 0
