bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 3, 64, 442368, 1, 37145900, 0, 0, 134591, 81878, 16993781, 37081000, 0, 1304413, 953081, 2928, 0
q1, d, -, 3, 64, 442368, 1, 46670599, 0, 0, 618160, 536130, 15662810,46673000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 1, 23073406, 0, 0, 139594, 82492, 15607274,23076000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 2, 38864239, 0, 0, 167884, 110746, 16924819, 38802000, 0, 1283455, 409275, 4646, 0
q1, d, -, 3, 64, 442368, 2, 46502206, 0, 0, 617361, 535685, 15559650,46504000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 2, 24603558, 0, 0, 185654, 114619, 15586185,24605000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 42848695, 0, 0, 224653, 159162, 16945608, 42786000, 0, 1242500, 0, 6858, 0
q1, d, -, 3, 64, 442368, 4, 46569721, 0, 0, 615749, 536569, 15551231,46571000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 27805469, 0, 0, 266493, 172640, 15610552,27807000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 8, 50117812, 0, 0, 324305, 245877, 16924663, 50055000, 0, 1160736, 0, 8350, 0
q1, d, -, 3, 64, 442368, 8, 46560560, 0, 0, 617621, 536455, 15544773,46564000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 8, 35789367, 0, 0, 405593, 270143, 15615128,35791000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 16, 67155846, 0, 0, 505643, 418670, 16959980, 67094000, 0, 0, 0, 9191, 0
q1, d, -, 3, 64, 442368, 16, 46524542, 0, 0, 616586, 535666, 15551231,46527000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 16, 52198675, 0, 0, 653292, 454365, 15617891,52201000, 0, 0, 0, 0, 0
