bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 3, 64, 442368, 1, 28878802, 0, 0, 145407, 83252, 16896455, 28802000, 0, 1347051, 1318111, 5177, 0
q1, d, -, 3, 64, 442368, 1, 34726856, 0, 0, 622890, 535436, 15558923,34729000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 1, 21826888, 0, 0, 170742, 84093, 15591637,21828000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 2, 29424220, 0, 0, 178908, 114508, 16885463, 29346000, 0, 1364210, 1268955, 7283, 0
q1, d, -, 3, 64, 442368, 2, 34866007, 0, 0, 623039, 536882, 15531520,34868000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 2, 22433012, 0, 0, 203597, 114855, 15514478,22434000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 29776134, 0, 0, 236072, 166213, 16901516, 29701000, 0, 1408699, 1193723, 6754, 0
q1, d, -, 3, 64, 442368, 4, 34711021, 0, 0, 621386, 537069, 15533329,34712000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 24133920, 0, 0, 271870, 176119, 15520926,24135000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 8, 31187923, 0, 0, 329746, 257534, 16883818, 31120000, 0, 1486788, 62970, 452, 0
q1, d, -, 3, 64, 442368, 8, 34661672, 0, 0, 620462, 536466, 15531612,34664000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 8, 27019374, 0, 0, 393942, 272487, 15527970,27020000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 16, 38859974, 0, 0, 510604, 425619, 16905243, 38783000, 1736, 574283, 5, 97, 0
q1, d, -, 3, 64, 442368, 16, 34902724, 0, 0, 623984, 537599, 15534894,34905000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 16, 33038346, 0, 0, 631904, 457972, 15550828,33039000, 0, 0, 0, 0, 0
