bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 3, 64, 442368, 1, 23362212, 0, 0, 154325, 81313, 16888605, 23298000, 0, 1223, 1195635, 20678, 0
q1, d, -, 3, 64, 442368, 1, 34749751, 0, 0, 623112, 535386, 15571218,34751000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 1, 21758658, 0, 0, 165674, 82930, 15599488,21760000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 2, 23973296, 0, 0, 185217, 109148, 16887948, 23910000, 0, 1286, 766518, 30104, 0
q1, d, -, 3, 64, 442368, 2, 34814044, 0, 0, 620511, 536133, 15531610,34816000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 2, 22601520, 0, 0, 206729, 116824, 15560391,22602000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 25030257, 0, 0, 241183, 155401, 16886569, 24968000, 0, 2779, 10394, 39072, 0
q1, d, -, 3, 64, 442368, 4, 34709569, 0, 0, 622619, 537325, 15533271,34712000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 24232057, 0, 0, 274200, 176543, 15547592,24233000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 8, 26991724, 0, 0, 332523, 239930, 16889959, 26927000, 0, 5777, 651, 47100, 0
q1, d, -, 3, 64, 442368, 8, 34654653, 0, 0, 621830, 536235, 15525151,34657000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 8, 27081774, 0, 0, 395559, 273736, 15537376,27084000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 16, 30753100, 0, 0, 506277, 404360, 16890413, 30689000, 7, 28161, 0, 62246, 0
q1, d, -, 3, 64, 442368, 16, 34807892, 0, 0, 620525, 536594, 15531631,34810000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 16, 32934851, 0, 0, 627748, 456820, 15536227,32937000, 0, 0, 0, 0, 0
