Figure 7,,,,,,,,
Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),RME Enabled,Design
Rocket,27MB,row,4 bytes,9,64,112160578,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,9,64,120321503,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,9,64,176752153,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,10,64,121116357,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,10,64,133490827,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,10,64,206692777,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,11,64,129593491,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,11,64,145631112,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,11,64,237335276,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,1,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,1,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,1,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,2,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,2,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,2,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,3,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,3,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,3,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,4,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,4,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,4,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,5,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,5,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,5,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,6,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,6,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,6,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,7,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,7,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,7,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,8,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,8,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,8,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,9,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,9,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,9,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,10,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,10,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,10,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,11,64,,FALSE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,row,4 bytes,11,64,,TRUE,"16 Fetch Unit, 4 Rank"
BOOM,27MB,col,4 bytes,11,64,,FALSE,"16 Fetch Unit, 4 Rank"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BEST CASE ,Speedup:,2.722199999,,,,,,
Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),RME Enabled,Design
Rocket,27MB,row,1 bytes,1,64,32985499,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,1 bytes,1,64,12117221,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,1 bytes,1,64,8727176,FALSE,"16 Fetch Unit, 4 Rank"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
