bench, mem, temp, enabled_col_num, row_size, row_count, col_width, cycles, l1_references,     l1_refills, l2_references, l2_refills, inst_retired, time, stall_ctrl_trapper, stall_fetch_ctrl, stall_fetch_full,     stall_fetch_memory, stall_req_fetch
q1, r, c, 1, 64, 442368, 4, 10705537, 0, 0, 83032, 60649, 8919710, 10644000, 0, 412298, 1876, 3463, 0
q1, d, -, 1, 64, 442368, 4, 20423909, 0, 0, 509236, 477564, 8436930,20426000, 0, 0, 0, 0, 0
q1, c, -, 1, 64, 442368, 4, 9540952, 0, 0, 79553, 60836, 7540042,9542000, 0, 0, 0, 0, 0
q1, r, c, 2, 64, 442368, 4, 16708453, 0, 0, 160758, 111583, 12904414, 16646000, 0, 829786, 7875, 4697, 0
q1, d, -, 2, 64, 442368, 4, 26449957, 0, 0, 564525, 508490, 11978702,26452000, 0, 0, 0, 0, 0
q1, c, -, 2, 64, 442368, 4, 15630618, 0, 0, 174347, 118555, 11542648,15632000, 0, 0, 0, 0, 0
q1, r, c, 3, 64, 442368, 4, 25209132, 0, 0, 239633, 161838, 16886910, 25146000, 0, 1246981, 9354, 6292, 0
q1, d, -, 3, 64, 442368, 4, 34679252, 0, 0, 622513, 536678, 15533152,34681000, 0, 0, 0, 0, 0
q1, c, -, 3, 64, 442368, 4, 24186962, 0, 0, 272929, 175714, 15570451,24188000, 0, 0, 0, 0, 0
q1, r, c, 4, 64, 442368, 4, 29250861, 0, 0, 316391, 209044, 20888160, 29188000, 0, 1666359, 32969, 3115, 0
q1, d, -, 4, 64, 442368, 4, 38486853, 0, 0, 673937, 562153, 19077975,38489000, 0, 0, 0, 0, 0
q1, c, -, 4, 64, 442368, 4, 30828935, 0, 0, 441985, 225786, 19630872,30831000, 0, 0, 0, 0, 0
q1, r, c, 5, 64, 442368, 4, 37300146, 0, 0, 395689, 261118, 24862948, 37239000, 0, 2081095, 32610, 8006, 0
q1, d, -, 5, 64, 442368, 4, 46801213, 0, 0, 730305, 591298, 22684760,46803000, 0, 0, 0, 0, 0
q1, c, -, 5, 64, 442368, 4, 84076116, 0, 0, 1402121, 288567, 23737977,84078000, 0, 0, 0, 0, 0
q1, r, c, 6, 64, 442368, 4, 43486226, 0, 0, 472779, 316044, 28861178, 43424000, 0, 2500143, 48290, 8796, 0
q1, d, -, 6, 64, 442368, 4, 52954532, 0, 0, 783611, 617572, 26327271,52957000, 0, 0, 0, 0, 0
q1, c, -, 6, 64, 442368, 4, 113676540, 0, 0, 2181568, 344552, 27810212,113678000, 0, 0, 0, 0, 0
q1, r, c, 7, 64, 442368, 4, 48879909, 0, 0, 554793, 365788, 33038533, 48817000, 0, 2921706, 72103, 13237, 0
q1, d, -, 7, 64, 442368, 4, 56630186, 0, 0, 834905, 641094, 29917809,56631000, 0, 0, 0, 0, 0
q1, c, -, 7, 64, 442368, 4, 149684803, 0, 0, 2900527, 409743, 31869450,149686000, 0, 0, 0, 0, 0
q1, r, c, 8, 64, 442368, 4, 55137144, 0, 0, 628044, 406479, 36949767, 55071000, 0, 3341547, 92322, 5685, 0
q1, d, -, 8, 64, 442368, 4, 62741212, 0, 0, 881829, 664579, 33506593,62744000, 0, 0, 0, 0, 0
q1, c, -, 8, 64, 442368, 4, 179102432, 0, 0, 3539907, 483101, 35934941,179103000, 0, 0, 0, 0, 0
q1, r, c, 9, 64, 442368, 4, 61316536, 0, 0, 708004, 460830, 40895891, 61254000, 0, 3758639, 101431, 11316, 0
q1, d, -, 9, 64, 442368, 4, 68520822, 0, 0, 940299, 692245, 37076624,68522000, 0, 0, 0, 0, 0
q1, c, -, 9, 64, 442368, 4, 204158904, 0, 0, 4140604, 553605, 39988643,204160000, 0, 0, 0, 0, 0
q1, r, c, 10, 64, 442368, 4, 69516917, 0, 0, 785988, 505272, 45105420, 69454000, 0, 4172957, 97875, 7352, 0
q1, d, -, 10, 64, 442368, 4, 76587451, 0, 0, 988320, 715827, 40685798,76589000, 0, 0, 0, 0, 0
q1, c, -, 10, 64, 442368, 4, 229957757, 0, 0, 4708667, 633398, 44058479,229959000, 0, 0, 0, 0, 0
q1, r, c, 11, 64, 442368, 4, 75807853, 0, 0, 863656, 561883, 49048803, 75746000, 0, 4591480, 114823, 11827, 0
q1, d, -, 11, 64, 442368, 4, 82458878, 0, 0, 1038989, 737692, 44242895,82460000, 0, 0, 0, 0, 0
q1, c, -, 11, 64, 442368, 4, 256983683, 0, 0, 5269800, 724971, 48109566,256984000, 0, 0, 0, 0, 0
