Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,12056084,8903694,0,469541,352339,2559,0,81157,60688,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,20425727,8435357,0,0,0,0,0,509364,477598,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,9541058,7540452,0,0,0,0,0,79863,60667,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,24215594,12900753,0,931288,764667,7583,0,156142,113072,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,26488918,11983550,0,0,0,0,0,565586,508744,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,15551323,11530603,0,0,0,0,0,172773,117278,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,36325332,16908202,0,1397986,1154005,7075,0,235309,164950,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,34675807,15533309,0,0,0,0,0,621384,536844,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,24177535,15570123,0,0,0,0,0,273320,175333,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,48152439,20907419,0,1863111,1554828,7189,0,314182,215559,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,38521187,19084820,0,0,0,0,0,674833,563421,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,30875853,19645883,0,0,0,0,0,441480,227021,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,59960335,24901256,0,2329248,1934098,9357,0,389638,267991,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,46770309,22679447,0,0,0,0,0,729027,590867,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,83750975,23738828,0,0,0,0,0,1393358,288362,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,71945360,28900973,0,2799130,2326851,14366,0,466157,323432,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,52987819,26335526,0,0,0,0,0,784576,619611,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,113808923,27828209,0,0,0,0,0,2181422,345664,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,84429130,33080666,0,3276522,2747918,14147,0,547914,377016,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,56691116,29936674,0,0,0,0,0,836864,640618,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,149908355,31882789,0,0,0,0,0,2906229,412015,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,96153525,37015828,0,3745875,3140035,18503,0,622407,429278,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,62822299,33522911,0,0,0,0,0,882855,665946,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,177894898,35955707,0,0,0,0,0,3535037,483037,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,108130634,40967676,0,4215274,3550642,22686,0,702230,480245,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,68506420,37069758,0,0,0,0,0,940378,690941,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,204431692,39988536,0,0,0,0,0,4144685,554403,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,120174432,45179095,0,4679717,3939052,27851,0,776971,531570,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,76562039,40685668,0,0,0,0,0,987297,716567,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,229992641,44067665,0,0,0,0,0,4706346,634484,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,132514278,49150195,0,5148902,4335899,26042,0,862221,580775,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,82584163,44242760,0,0,0,0,0,1045448,738762,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,256954430,48094100,0,0,0,0,0,5270707,723356,"16 Fetch Unit, 4 Rank"
