Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,14163870,8913950,0,0,0,38649,0,77037,59974,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,33242085,8454982,0,0,0,0,0,510272,478416,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,10617404,7535440,0,0,0,0,0,73719,59188,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,23768793,12901104,0,0,0,58215,0,148877,112363,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,40155384,12003156,0,0,0,0,0,564188,509077,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,18169845,11531083,0,0,0,0,0,165008,114454,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,35090420,16908894,0,0,0,37473,0,222753,152302,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,46576809,15551325,0,0,0,0,0,617088,536148,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,27742853,15576040,0,0,0,0,0,268051,171553,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,43656593,20899665,0,0,0,91602,0,295226,215456,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,54638438,19117705,0,0,0,0,0,667487,561629,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,34927312,19650791,0,0,0,0,0,447140,228478,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,54551073,24902596,0,5,0,68146,0,369542,251555,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,60844299,22703276,0,0,0,0,0,719556,587062,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,84239572,23730355,0,0,0,0,0,1399184,289013,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,63362151,28888653,0,0,0,52278,0,439609,289853,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,65572614,26348700,0,0,0,0,0,764583,613232,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,108206763,27813571,0,0,0,0,0,2167369,351361,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,72472425,33061421,0,4,0,88590,0,518477,349366,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,72161196,29947619,0,0,0,0,0,815763,635468,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,140007845,31863337,0,0,0,0,0,2897425,413753,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,81959753,36990680,0,7,0,159808,0,586045,422485,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,78308498,33552325,0,0,0,0,0,858140,659933,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,164760918,35925837,0,0,0,0,0,3518646,481936,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,91486395,40944357,0,0,0,176988,0,661253,473082,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,85987228,37105859,0,0,0,0,0,904157,681327,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,187702013,39979309,0,0,0,0,0,4125305,553938,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,102120925,45171534,0,0,0,193554,0,733964,528065,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,92052797,40709631,0,0,0,0,0,943161,705479,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,211862996,44035751,0,0,0,0,0,4696442,633244,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,111984342,49117624,0,0,0,135633,0,812522,545158,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,98183683,44266991,0,0,0,0,0,992036,725505,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,235485993,48099228,0,0,0,0,0,5255884,725368,"16 Fetch Unit, 4 Rank"
