Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,10705537,8919710,0,412298,1876,3463,0,83032,60649,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,20423909,8436930,0,0,0,0,0,509236,477564,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,9540952,7540042,0,0,0,0,0,79553,60836,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,16708453,12904414,0,829786,7875,4697,0,160758,111583,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,26449957,11978702,0,0,0,0,0,564525,508490,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,15630618,11542648,0,0,0,0,0,174347,118555,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,25209132,16886910,0,1246981,9354,6292,0,239633,161838,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,34679252,15533152,0,0,0,0,0,622513,536678,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,24186962,15570451,0,0,0,0,0,272929,175714,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,29250861,20888160,0,1666359,32969,3115,0,316391,209044,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,38486853,19077975,0,0,0,0,0,673937,562153,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,30828935,19630872,0,0,0,0,0,441985,225786,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,37300146,24862948,0,2081095,32610,8006,0,395689,261118,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,46801213,22684760,0,0,0,0,0,730305,591298,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,84076116,23737977,0,0,0,0,0,1402121,288567,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,43486226,28861178,0,2500143,48290,8796,0,472779,316044,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,52954532,26327271,0,0,0,0,0,783611,617572,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,113676540,27810212,0,0,0,0,0,2181568,344552,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,48879909,33038533,0,2921706,72103,13237,0,554793,365788,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,56630186,29917809,0,0,0,0,0,834905,641094,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,149684803,31869450,0,0,0,0,0,2900527,409743,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,55137144,36949767,0,3341547,92322,5685,0,628044,406479,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,62741212,33506593,0,0,0,0,0,881829,664579,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,179102432,35934941,0,0,0,0,0,3539907,483101,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,61316536,40895891,0,3758639,101431,11316,0,708004,460830,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,68520822,37076624,0,0,0,0,0,940299,692245,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,204158904,39988643,0,0,0,0,0,4140604,553605,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,69516917,45105420,0,4172957,97875,7352,0,785988,505272,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,76587451,40685798,0,0,0,0,0,988320,715827,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,229957757,44058479,0,0,0,0,0,4708667,633398,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,75807853,49048803,0,4591480,114823,11827,0,863656,561883,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,82458878,44242895,0,0,0,0,0,1038989,737692,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,256983683,48109566,0,0,0,0,0,5269800,724971,"16 Fetch Unit, 4 Rank"
