Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),RME Enabled,Design
Rocket,27MB,row,1 bytes,2,64,49349872,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,1 bytes,2,64,25659406,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,1 bytes,2,64,20250321,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,2 bytes,2,64,56354506,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,2 bytes,2,64,26443543,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,2 bytes,2,64,20604404,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,64,54071136,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,4 bytes,2,64,25249375,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,4 bytes,2,64,18157380,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,8 bytes,2,64,58870732,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,8 bytes,2,64,28105032,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,8 bytes,2,64,18861125,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,16 bytes,2,64,77721153,FALSE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,row,16 bytes,2,64,38731636,TRUE,"16 Fetch Unit, 4 Rank"
Rocket,27MB,col,16 bytes,2,64,27232222,FALSE,"16 Fetch Unit, 4 Rank"
