Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,1,3,64,34321712,16991013,0,1346370,1330648,5298,0,145700,83169,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,1,3,64,34785730,15644804,0,0,0,0,0,621224,535235,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,1,3,64,21835633,15635843,0,0,0,0,0,167959,84114,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,2,3,64,35231096,16908725,0,1366800,1283855,6839,0,180079,114910,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,2,3,64,34842209,15539500,0,0,0,0,0,621551,535290,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,2,3,64,22540046,15568704,0,0,0,0,0,206227,115538,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,36284242,16905897,0,1398016,1154029,7304,0,234984,164222,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,34697489,15540990,0,0,0,0,0,621464,536833,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,24182823,15592607,0,0,0,0,0,272286,175663,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,8,3,64,37305014,16915580,0,1488634,428404,699,0,331010,256460,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,8,3,64,34592573,15525122,0,0,0,0,0,619026,535634,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,8,3,64,27181150,15606725,0,0,0,0,0,396418,274652,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,16,3,32,76283656,16974566,0,2883356,1046776,15314,0,516815,430401,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,16,3,32,29956451,15518487,0,0,0,0,0,391533,307032,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,16,3,32,33078475,15599579,0,0,0,0,0,629834,457303,"16 Fetch Unit, 4 Rank"
