Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,1,3,64,23362212,16888605,0,1223,1195635,20678,0,154325,81313,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,1,3,64,34749751,15571218,0,0,0,0,0,623112,535386,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,1,3,64,21758658,15599488,0,0,0,0,0,165674,82930,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,2,3,64,23973296,16887948,0,1286,766518,30104,0,185217,109148,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,2,3,64,34814044,15531610,0,0,0,0,0,620511,536133,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,2,3,64,22601520,15560391,0,0,0,0,0,206729,116824,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,25030257,16886569,0,2779,10394,39072,0,241183,155401,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,34709569,15533271,0,0,0,0,0,622619,537325,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,24232057,15547592,0,0,0,0,0,274200,176543,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,8,3,64,26991724,16889959,0,5777,651,47100,0,332523,239930,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,8,3,64,34654653,15525151,0,0,0,0,0,621830,536235,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,8,3,64,27081774,15537376,0,0,0,0,0,395559,273736,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,16,3,64,30753100,16890413,7,28161,0,62246,0,506277,404360,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,16,3,64,34807892,15531631,0,0,0,0,0,620525,536594,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,16,3,64,32934851,15536227,0,0,0,0,0,627748,456820,"16 Fetch Unit, 4 Rank"
