Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,1,3,64,24170315,16879332,0,1323125,1012252,2762,0,146478,82563,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,1,3,64,34624548,15526700,0,0,0,0,0,619909,534545,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,1,3,64,21703608,15529346,0,0,0,0,0,163572,84414,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,2,3,64,24898414,16879118,0,1306972,439057,1178,0,185488,114637,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,2,3,64,34883241,15542381,0,0,0,0,0,621992,536825,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,2,3,64,22490446,15515087,0,0,0,0,0,204198,115159,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,25940323,16904051,0,1278017,45204,352,0,239344,165572,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,34724845,15533589,0,0,0,0,0,623045,537540,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,24207770,15536372,0,0,0,0,0,274261,177085,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,8,3,64,28059630,16893589,0,1203204,1370,265,0,332965,254502,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,8,3,64,34680375,15531700,0,0,0,0,0,622021,537696,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,8,3,64,27043806,15529404,0,0,0,0,0,396403,273193,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,16,3,64,34799244,16907275,88,120636,0,188,0,513050,418644,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,16,3,64,34973099,15531725,0,0,0,0,0,627224,537519,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,16,3,64,33084453,15546702,0,0,0,0,0,633802,457868,"16 Fetch Unit, 4 Rank"
