Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,10734086,8887733,0,413967,1374,155,0,80485,59974,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,20469317,8445072,0,0,0,0,0,509958,478007,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,9538642,7540704,0,0,0,0,0,79257,60617,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,17743446,12888193,0,834623,13009,266,0,159728,110971,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,26518175,11983624,0,0,0,0,0,566256,509083,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,15634808,11540767,0,0,0,0,0,174612,117875,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,26895724,16887837,0,1253246,16079,309,0,237806,163526,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,34640346,15526736,0,0,0,0,0,619882,536435,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,24177791,15569876,0,0,0,0,0,271213,175653,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,29636856,20871506,0,1720361,116788,950,0,315672,215521,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,38561377,19084498,0,0,0,0,0,676066,563545,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,30901985,19647977,0,0,0,0,0,442830,226524,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,38042973,24860137,0,2121849,93485,737,0,393109,266394,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,46801081,22681837,0,0,0,0,0,728596,590804,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,84433426,23747531,0,0,0,0,0,1396808,287816,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,44110942,28868569,0,2585155,175210,1321,0,471457,319195,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,53110727,26346779,0,0,0,0,0,787113,619881,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,113396706,27826279,0,0,0,0,0,2181620,344055,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,48913047,33013661,0,3276873,2654290,30645,0,546896,372490,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,56707128,29929657,0,0,0,0,0,835601,640931,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,149595082,31868642,0,0,0,0,0,2901371,409980,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,55774549,36952335,0,3746745,3173833,37850,0,625617,426160,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,62867262,33514573,0,0,0,0,0,883255,664990,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,177806323,35936960,0,0,0,0,0,3528407,482666,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,62403544,40890887,0,4215652,3548800,38744,0,691966,471856,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,68506259,37077031,0,0,0,0,0,936475,692053,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,204343183,40006755,0,0,0,0,0,4138203,554906,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,69929171,45118533,0,4679153,3595064,37641,0,783872,528546,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,76642503,40674728,0,0,0,0,0,990264,715224,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,229899611,44051160,0,0,0,0,0,4715100,633823,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,76651773,49060976,0,5151247,4263927,41001,0,856179,578025,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,82560065,44242902,0,0,0,0,0,1040390,739944,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,256873524,48100240,0,0,0,0,0,5265767,723986,"16 Fetch Unit, 4 Rank"
