Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,16718048,8926575,0,413377,0,4379,0,77697,61115,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,33290470,8462757,0,0,0,0,0,510944,478776,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,10625819,7540122,0,0,0,0,0,73546,58857,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,28851568,12907550,0,828822,0,11580,0,149290,112312,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,40197963,12004794,0,0,0,0,0,565280,509222,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,18248833,11538636,0,0,0,0,0,166795,114935,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,42731400,16915973,0,1242468,0,6738,0,223529,157773,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,46562719,15546136,0,0,0,0,0,616239,535925,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,27856027,15593336,0,0,0,0,0,270195,172500,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,53699473,20916002,0,1657677,0,12518,0,297393,215451,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,54701315,19114272,0,0,0,0,0,669876,562423,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,34936398,19644236,0,0,0,0,0,449276,225794,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,67082059,24917024,0,2072008,0,9457,0,370127,259025,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,60845301,22710381,0,0,0,0,0,716852,588160,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,83676854,23730641,0,0,0,0,0,1391774,289612,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,78582335,28919806,0,2487864,0,10360,0,445225,305255,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,65684867,26345979,0,0,0,0,0,768034,611743,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,108137624,27803576,0,0,0,0,0,2169149,350624,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,90622347,33068873,0,2900416,0,16181,0,518520,359493,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,72107947,29939020,0,0,0,0,0,811466,636657,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,139815523,31871491,0,0,0,0,0,2882195,415353,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,102812405,37037899,0,3315295,0,31460,0,594879,426258,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,78351770,33541027,0,0,0,0,0,857656,658716,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,163743528,35917388,0,0,0,0,0,3522735,481656,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,113991167,40975471,0,3729990,0,33117,0,662785,475553,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,86047949,37103141,0,0,0,0,0,902931,683027,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,187614719,39969853,0,0,0,0,0,4126053,552194,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,127607497,45215877,0,4144213,0,22036,0,745083,529657,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,92188446,40701563,0,0,0,0,0,948875,704095,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,211536220,44048119,0,0,0,0,0,4702127,633970,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,139542774,49181308,0,4559144,0,15954,0,816695,566424,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,98193978,44268586,0,0,0,0,0,987987,726080,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,235882334,48069265,0,0,0,0,0,5255132,724696,"16 Fetch Unit, 4 Rank"
