Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,2,3,64,26331041,16885046,0,1367413,1328425,6926,0,187375,114198,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,2,3,64,34890079,15533439,0,0,0,0,0,624652,536133,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,2,3,64,22585397,15529300,0,0,0,0,0,208827,116519,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,26818135,16879297,0,1407502,997541,6445,0,240748,164388,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,34801262,15539546,0,0,0,0,0,627168,537446,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,24174783,15520925,0,0,0,0,0,277343,175655,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,8,3,64,28396069,16885490,0,1421246,10899,273,0,332775,252806,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,8,3,64,34719775,15525160,0,0,0,0,0,624448,537268,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,8,3,64,27127383,15539052,0,0,0,0,0,399749,273210,"16 Fetch Unit, 4 Rank"
