Core,DB Size,DB Organization,Column Size,Num Columns,Row Size,Time(Cycles),InstRet,ctrl-trapper,fetch-ctrl,fetch-full,fetch-mem,req-fetch,llc-access,llc-out,Design
Boom Prefetch,27MB,rme,4,1,64,23150925,8915130,0,412140,0,0,0,77863,59644,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,1,64,33340921,8480009,0,0,0,0,0,512035,479479,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,1,64,10702461,7555720,0,0,0,0,0,75188,60226,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,2,64,41888075,12934901,0,828552,0,0,0,153019,112721,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,2,64,40172618,12003181,0,0,0,0,0,564515,509397,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,2,64,18235022,11537177,0,0,0,0,0,166996,115323,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,3,64,62151069,16939106,0,1242317,0,0,0,227101,164366,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,3,64,46561065,15551431,0,0,0,0,0,616410,536429,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,3,64,27687647,15527767,0,0,0,0,0,268025,171009,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,4,64,80142570,20957046,0,1658373,0,0,0,302420,207285,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,4,64,54615377,19100645,0,0,0,0,0,667169,562323,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,4,64,34859637,19607076,0,0,0,0,0,447877,226409,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,5,64,100183407,24975325,0,2073064,0,0,0,375460,265181,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,5,64,60688343,22648912,0,0,0,0,0,715317,587016,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,5,64,84775041,23715146,0,0,0,0,0,1393885,289486,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,6,64,117975120,28977402,0,2483659,0,2,0,453588,319016,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,6,64,65608218,26344830,0,0,0,0,0,765318,612205,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,6,64,109339255,27784738,0,0,0,0,0,2169588,349466,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,7,64,135766721,32992001,0,2899536,0,2,0,524340,373288,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,7,64,71997969,29861820,0,0,0,0,0,810436,636357,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,7,64,140296504,31866283,0,0,0,0,0,2890379,415036,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,8,64,155115006,37126366,0,3314551,0,0,0,604073,427447,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,8,64,78255274,33538212,0,0,0,0,0,854746,657891,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,8,64,164731082,35902011,0,0,0,0,0,3526638,480059,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,9,64,172971094,41093256,0,3727059,0,0,0,672682,477788,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,9,64,85891552,37100713,0,0,0,0,0,898552,682687,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,9,64,187915886,39981633,0,0,0,0,0,4121764,555601,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,10,64,192276569,45037485,0,4141541,0,1,0,747191,530616,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,10,64,92134845,40688632,0,0,0,0,0,946047,705109,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,10,64,211306028,44035925,0,0,0,0,0,4696721,632450,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,rme,4,11,64,211165336,49285046,0,4555362,0,0,0,827791,573413,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,row,4,11,64,98177226,44293657,0,0,0,0,0,985812,726871,"16 Fetch Unit, 4 Rank"
Boom Prefetch,27MB,col,4,11,64,235547421,48088373,0,0,0,0,0,5248580,725080,"16 Fetch Unit, 4 Rank"
